期号,日期,百位,十位,个位,销售额
21333,2021-11-29,5,9,6,32115170
21334,2021-11-30,7,5,6,49889033
21335,2021-12-01,2,4,5,23478915
21336,2021-12-02,7,5,2,36725405
21337,2021-12-03,5,4,7,48646604
21338,2021-12-04,3,5,6,28810624
21339,2021-12-05,6,5,1,47839367
21340,2021-12-06,3,9,8,22074710
21341,2021-12-07,8,0,7,24069265
21342,2021-12-08,7,4,1,37457027
21343,2021-12-09,7,2,4,26241765
21344,2021-12-10,4,2,6,35299425
21345,2021-12-11,1,7,9,42160896
21346,2021-12-12,9,6,8,43998198
21347,2021-12-13,6,8,0,34127615
21348,2021-12-14,8,9,1,17339657
21349,2021-12-15,3,5,2,12972700
21350,2021-12-16,9,6,5,38887382
21351,2021-12-17,1,0,1,27363638
21352,2021-12-18,3,8,8,47446304
21353,2021-12-19,9,9,3,39915692
21354,2021-12-20,5,6,7,49499603
21355,2021-12-21,8,2,5,11648371
21356,2021-12-22,7,1,4,37915638
21357,2021-12-23,1,1,2,33375940
21358,2021-12-24,4,5,7,23882631
21359,2021-12-25,8,7,5,41954726
21360,2021-12-26,1,7,7,31401652
21361,2021-12-27,1,4,0,17723241
21362,2021-12-28,0,5,1,21029616
21363,2021-12-29,3,8,2,47038072
21364,2021-12-30,2,5,8,38613164
21365,2021-12-31,7,3,6,22378349
22001,2022-01-01,2,6,6,11959060
22002,2022-01-02,9,3,7,49742081
22003,2022-01-03,6,6,0,24414722
22004,2022-01-04,3,4,1,48745162
22005,2022-01-05,1,8,2,34547954
22006,2022-01-06,5,3,7,17647388
22007,2022-01-07,4,7,8,31032193
22008,2022-01-08,9,6,9,36343182
22009,2022-01-09,9,1,5,33621308
22010,2022-01-10,7,9,2,29961184
22011,2022-01-11,9,9,1,18989082
22012,2022-01-12,5,1,3,30493705
22013,2022-01-13,1,2,5,19486411
22014,2022-01-14,8,6,6,19252117
22015,2022-01-15,9,6,6,22465719
22016,2022-01-16,7,8,2,47239552
22017,2022-01-17,2,7,4,19415141
22018,2022-01-18,2,5,7,13597790
22019,2022-01-19,5,0,7,19162689
22020,2022-01-20,3,6,8,43919371
22021,2022-01-21,7,6,7,37892486
22022,2022-01-22,7,7,2,15547931
22023,2022-01-23,9,0,3,29601822
22024,2022-01-24,0,4,3,46078303
22025,2022-01-25,4,2,7,47960159
22026,2022-01-26,7,8,8,17597461
22027,2022-01-27,9,1,4,46447238
22028,2022-01-28,5,8,0,39619609
22029,2022-01-29,8,3,6,16873050
22030,2022-01-30,3,4,0,40181026
22031,2022-01-31,4,5,1,39465482
22032,2022-02-01,1,3,3,49454904
22033,2022-02-02,5,9,6,21138837
22034,2022-02-03,9,2,3,23887690
22035,2022-02-04,0,9,5,45720759
22036,2022-02-05,4,9,8,21299613
22037,2022-02-06,5,4,4,48435634
22038,2022-02-07,4,8,1,19099217
22039,2022-02-08,6,0,4,18515320
22040,2022-02-09,2,3,2,31615544
22041,2022-02-10,3,6,7,19540976
22042,2022-02-11,9,4,6,35177388
22043,2022-02-12,7,1,1,37034857
22044,2022-02-13,8,4,5,40514108
22045,2022-02-14,7,5,9,10165965
22046,2022-02-15,1,7,5,14250050
22047,2022-02-16,8,6,3,38832860
22048,2022-02-17,3,7,4,31667113
22049,2022-02-18,4,5,8,48784470
22050,2022-02-19,2,9,7,33067975
22051,2022-02-20,0,0,1,40842010
22052,2022-02-21,0,1,2,39614198
22053,2022-02-22,7,0,6,23577344
22054,2022-02-23,2,4,2,28389134
22055,2022-02-24,1,5,4,15531148
22056,2022-02-25,5,2,0,36598032
22057,2022-02-26,4,3,6,16120273
22058,2022-02-27,1,0,3,41997956
22059,2022-02-28,1,2,9,25179411
22060,2022-03-01,8,7,0,10541069
22061,2022-03-02,5,1,6,18870124
22062,2022-03-03,7,1,3,35707387
22063,2022-03-04,1,1,1,31028661
22064,2022-03-05,5,4,2,35683974
22065,2022-03-06,2,2,1,45601807
22066,2022-03-07,9,0,9,21013675
22067,2022-03-08,7,5,3,20158545
22068,2022-03-09,6,9,7,24579043
22069,2022-03-10,1,1,2,18264941
22070,2022-03-11,9,6,5,38815790
22071,2022-03-12,5,2,3,28586984
22072,2022-03-13,1,3,8,29120711
22073,2022-03-14,0,4,3,44745555
22074,2022-03-15,9,8,3,36289965
22075,2022-03-16,4,0,3,43211352
22076,2022-03-17,6,1,3,43526416
22077,2022-03-18,9,1,8,10809803
22078,2022-03-19,5,5,2,35960275
22079,2022-03-20,9,6,5,46665345
22080,2022-03-21,2,7,1,11120006
22081,2022-03-22,9,1,0,27594956
22082,2022-03-23,3,0,0,36707651
22083,2022-03-24,8,4,8,37879169
22084,2022-03-25,6,6,1,46008255
22085,2022-03-26,8,9,2,28620544
22086,2022-03-27,1,4,1,44313077
22087,2022-03-28,3,2,8,31927841
22088,2022-03-29,6,9,1,30815122
22089,2022-03-30,6,3,0,26406758
22090,2022-03-31,1,6,1,40425269
22091,2022-04-01,9,9,0,30756104
22092,2022-04-02,2,1,0,19208127
22093,2022-04-03,0,2,7,33266987
22094,2022-04-04,8,8,4,21204694
22095,2022-04-05,5,2,4,17922652
22096,2022-04-06,0,5,6,28252308
22097,2022-04-07,8,1,4,48698438
22098,2022-04-08,1,7,7,44277991
22099,2022-04-09,5,0,7,48043084
22100,2022-04-10,2,5,2,27120550
22101,2022-04-11,1,9,1,25327961
22102,2022-04-12,8,0,0,10824638
22103,2022-04-13,3,0,7,34426049
22104,2022-04-14,6,2,2,12373209
22105,2022-04-15,8,6,3,31595767
22106,2022-04-16,3,6,5,28203813
22107,2022-04-17,1,9,5,18012860
22108,2022-04-18,8,0,2,24977695
22109,2022-04-19,8,0,6,14625574
22110,2022-04-20,7,4,4,31964793
22111,2022-04-21,1,8,7,10534802
22112,2022-04-22,5,3,4,47836429
22113,2022-04-23,4,9,3,41133593
22114,2022-04-24,5,9,7,23114576
22115,2022-04-25,8,3,2,10428012
22116,2022-04-26,6,0,3,46342483
22117,2022-04-27,5,0,5,10098115
22118,2022-04-28,6,4,1,23770361
22119,2022-04-29,8,3,6,43019498
22120,2022-04-30,0,2,4,16242912
22121,2022-05-01,0,3,8,37719772
22122,2022-05-02,5,7,1,48974857
22123,2022-05-03,1,8,2,36464467
22124,2022-05-04,1,9,9,14179732
22125,2022-05-05,6,2,3,29574046
22126,2022-05-06,4,5,6,31894372
22127,2022-05-07,5,7,4,25677384
22128,2022-05-08,1,3,2,49239092
22129,2022-05-09,1,2,1,21031018
22130,2022-05-10,7,7,5,37280595
22131,2022-05-11,1,8,5,23934231
22132,2022-05-12,7,4,7,27784380
22133,2022-05-13,1,1,2,30415521
22134,2022-05-14,9,0,3,31997860
22135,2022-05-15,2,1,3,33873492
22136,2022-05-16,6,8,0,30054860
22137,2022-05-17,4,2,0,37138302
22138,2022-05-18,7,8,8,26767326
22139,2022-05-19,1,7,1,19381352
22140,2022-05-20,1,0,0,24917504
22141,2022-05-21,2,3,6,34980586
22142,2022-05-22,1,9,9,27369159
22143,2022-05-23,1,0,1,23270800
22144,2022-05-24,7,2,1,32249936
22145,2022-05-25,1,0,7,13398238
22146,2022-05-26,2,9,6,36507913
22147,2022-05-27,7,0,6,38632937
22148,2022-05-28,2,5,3,22559498
22149,2022-05-29,4,4,7,19974485
22150,2022-05-30,0,9,9,26494337
22151,2022-05-31,4,7,6,46956090
22152,2022-06-01,7,0,1,28775448
22153,2022-06-02,6,2,6,23385386
22154,2022-06-03,8,3,8,11310634
22155,2022-06-04,6,5,7,46541971
22156,2022-06-05,7,5,9,43715040
22157,2022-06-06,5,6,4,22067239
22158,2022-06-07,0,5,9,24698196
22159,2022-06-08,0,4,0,41654203
22160,2022-06-09,8,5,9,25620401
22161,2022-06-10,2,1,3,26183490
22162,2022-06-11,4,8,0,24724462
22163,2022-06-12,9,6,5,21657617
22164,2022-06-13,2,3,9,31340911
22165,2022-06-14,5,9,0,33600989
22166,2022-06-15,9,9,2,47789597
22167,2022-06-16,3,7,8,30740200
22168,2022-06-17,2,7,0,16057070
22169,2022-06-18,0,3,9,24684019
22170,2022-06-19,0,8,7,10045868
22171,2022-06-20,5,9,3,18757005
22172,2022-06-21,5,2,5,13996733
22173,2022-06-22,0,2,9,19506149
22174,2022-06-23,1,8,5,14867513
22175,2022-06-24,5,6,9,16780154
22176,2022-06-25,5,4,5,19157116
22177,2022-06-26,2,6,7,31292528
22178,2022-06-27,2,8,9,33946157
22179,2022-06-28,3,9,2,35392927
22180,2022-06-29,4,4,2,21925801
22181,2022-06-30,0,9,6,48083123
22182,2022-07-01,0,2,9,31355175
22183,2022-07-02,9,3,9,16986719
22184,2022-07-03,7,2,5,15221515
22185,2022-07-04,3,5,5,21266733
22186,2022-07-05,1,5,7,10764747
22187,2022-07-06,4,3,3,14549630
22188,2022-07-07,5,4,1,10085977
22189,2022-07-08,0,6,7,38162451
22190,2022-07-09,2,6,7,35414970
22191,2022-07-10,5,8,6,16806755
22192,2022-07-11,7,9,3,20915693
22193,2022-07-12,7,1,0,29790982
22194,2022-07-13,0,5,4,17027979
22195,2022-07-14,1,5,2,35196552
22196,2022-07-15,2,1,8,16248149
22197,2022-07-16,5,9,9,42395917
22198,2022-07-17,0,6,2,39138694
22199,2022-07-18,2,0,1,32219381
22200,2022-07-19,3,3,6,47185855
22201,2022-07-20,8,4,4,29958219
22202,2022-07-21,3,1,0,36367221
22203,2022-07-22,9,8,7,20307246
22204,2022-07-23,0,5,0,38696150
22205,2022-07-24,1,4,9,42234293
22206,2022-07-25,3,1,0,23888379
22207,2022-07-26,2,4,1,41780788
22208,2022-07-27,1,4,6,41604547
22209,2022-07-28,7,4,1,46515679
22210,2022-07-29,6,2,5,35598353
22211,2022-07-30,5,2,7,12994191
22212,2022-07-31,4,7,7,27676529
22213,2022-08-01,3,4,9,14136548
22214,2022-08-02,2,1,1,33071449
22215,2022-08-03,8,6,9,25268122
22216,2022-08-04,8,0,6,45069902
22217,2022-08-05,6,8,7,48434205
22218,2022-08-06,3,7,4,15298583
22219,2022-08-07,6,0,8,48333920
22220,2022-08-08,8,9,9,19895044
22221,2022-08-09,1,7,2,21218238
22222,2022-08-10,3,3,2,12863931
22223,2022-08-11,6,1,6,23550573
22224,2022-08-12,2,9,4,31458024
22225,2022-08-13,1,1,6,47336969
22226,2022-08-14,6,8,5,28535523
22227,2022-08-15,8,7,0,49431563
22228,2022-08-16,8,6,1,37812758
22229,2022-08-17,2,2,9,49455591
22230,2022-08-18,9,1,1,47761067
22231,2022-08-19,1,4,8,33076669
22232,2022-08-20,6,4,6,42587043
22233,2022-08-21,9,9,7,12514278
22234,2022-08-22,2,4,6,19653789
22235,2022-08-23,9,9,6,12602651
22236,2022-08-24,6,5,3,13307861
22237,2022-08-25,7,4,5,11357806
22238,2022-08-26,5,4,4,28813745
22239,2022-08-27,7,1,3,19018459
22240,2022-08-28,4,7,5,28080468
22241,2022-08-29,6,9,1,22612150
22242,2022-08-30,7,3,6,42511582
22243,2022-08-31,8,5,0,44579164
22244,2022-09-01,2,1,4,44010455
22245,2022-09-02,6,2,8,48162952
22246,2022-09-03,0,2,3,23470545
22247,2022-09-04,0,3,0,40631751
22248,2022-09-05,0,5,3,28386318
22249,2022-09-06,5,7,8,36638345
22250,2022-09-07,1,0,3,34995821
22251,2022-09-08,7,9,7,21917439
22252,2022-09-09,7,9,8,33471989
22253,2022-09-10,5,2,4,16066099
22254,2022-09-11,4,0,6,13332025
22255,2022-09-12,2,9,3,24854619
22256,2022-09-13,3,3,4,37481562
22257,2022-09-14,8,0,0,41816124
22258,2022-09-15,2,2,9,10567991
22259,2022-09-16,3,4,9,30499053
22260,2022-09-17,4,6,6,33401478
22261,2022-09-18,7,4,3,41319573
22262,2022-09-19,4,8,9,36652455
22263,2022-09-20,9,1,0,44327104
22264,2022-09-21,5,8,9,28970124
22265,2022-09-22,4,1,7,14284032
22266,2022-09-23,5,4,5,28581433
22267,2022-09-24,4,4,3,20061584
22268,2022-09-25,8,3,0,37118586
22269,2022-09-26,5,2,0,43378125
22270,2022-09-27,4,4,6,37152172
22271,2022-09-28,6,0,9,48389117
22272,2022-09-29,3,5,3,45878754
22273,2022-09-30,7,5,8,30145733
22274,2022-10-01,2,8,2,29715514
22275,2022-10-02,1,7,2,27357831
22276,2022-10-03,8,2,5,15992809
22277,2022-10-04,3,5,3,30608143
22278,2022-10-05,6,5,5,27485834
22279,2022-10-06,9,4,7,17904180
22280,2022-10-07,7,0,9,48944153
22281,2022-10-08,9,1,7,23055613
22282,2022-10-09,8,1,6,45556860
22283,2022-10-10,4,6,0,20118570
22284,2022-10-11,2,3,5,37460399
22285,2022-10-12,9,7,2,31232134
22286,2022-10-13,2,1,7,32322384
22287,2022-10-14,2,5,0,10316317
22288,2022-10-15,7,4,3,21314940
22289,2022-10-16,9,2,7,15908354
22290,2022-10-17,2,9,6,38817198
22291,2022-10-18,6,6,7,35723929
22292,2022-10-19,0,0,8,23382463
22293,2022-10-20,5,0,5,45637074
22294,2022-10-21,3,0,0,26698237
22295,2022-10-22,3,5,4,18652399
22296,2022-10-23,1,6,8,49505021
22297,2022-10-24,4,2,1,13068106
22298,2022-10-25,4,4,7,44915964
22299,2022-10-26,9,8,5,39102780
22300,2022-10-27,2,5,7,34108918
22301,2022-10-28,3,2,6,11283439
22302,2022-10-29,3,3,2,24172736
22303,2022-10-30,0,9,8,21340374
22304,2022-10-31,1,5,0,35178737
22305,2022-11-01,4,8,9,13260615
22306,2022-11-02,9,0,1,11324847
22307,2022-11-03,0,1,6,39817427
22308,2022-11-04,6,1,8,26960979
22309,2022-11-05,7,2,3,10624417
22310,2022-11-06,4,6,1,44917361
22311,2022-11-07,4,9,9,19204888
22312,2022-11-08,6,1,8,17901033
22313,2022-11-09,4,1,1,43402703
22314,2022-11-10,3,9,3,27649222
22315,2022-11-11,8,3,5,37498275
22316,2022-11-12,4,2,0,46784969
22317,2022-11-13,7,3,7,32186433
22318,2022-11-14,3,0,0,15972879
22319,2022-11-15,1,9,7,20008917
22320,2022-11-16,1,8,1,16797488
22321,2022-11-17,4,3,7,29865712
22322,2022-11-18,4,7,0,16698062
22323,2022-11-19,2,0,4,34173596
22324,2022-11-20,5,6,1,16375239
22325,2022-11-21,0,0,2,21442885
22326,2022-11-22,5,5,7,28005938
22327,2022-11-23,1,5,5,22272159
22328,2022-11-24,1,6,6,40637792
22329,2022-11-25,4,6,7,38302480
22330,2022-11-26,2,1,2,13935692
22331,2022-11-27,2,1,6,49644581
22332,2022-11-28,7,9,7,22164190
22333,2022-11-29,9,6,5,11933824
22334,2022-11-30,2,7,7,17579105
22335,2022-12-01,6,7,0,14250410
22336,2022-12-02,4,5,0,45219933
22337,2022-12-03,9,9,3,32702971
22338,2022-12-04,8,8,9,16391591
22339,2022-12-05,6,3,7,33202855
22340,2022-12-06,6,2,8,13661870
22341,2022-12-07,0,2,8,41493447
22342,2022-12-08,7,2,1,42993936
22343,2022-12-09,5,3,5,28666809
22344,2022-12-10,0,8,3,46943132
22345,2022-12-11,6,6,3,15290231
22346,2022-12-12,7,7,9,40071387
22347,2022-12-13,1,7,7,31210530
22348,2022-12-14,1,7,0,16888276
22349,2022-12-15,6,6,0,47388429
22350,2022-12-16,8,0,1,30441222
22351,2022-12-17,8,8,3,40615595
22352,2022-12-18,5,5,0,24959781
22353,2022-12-19,7,5,8,41751463
22354,2022-12-20,5,7,1,16538887
22355,2022-12-21,3,0,5,33832973
22356,2022-12-22,4,8,8,35091357
22357,2022-12-23,1,0,2,43045890
22358,2022-12-24,2,6,1,27065066
22359,2022-12-25,9,3,3,18103113
22360,2022-12-26,6,3,7,22789524
22361,2022-12-27,5,1,6,13120586
22362,2022-12-28,9,1,7,40694780
22363,2022-12-29,9,8,2,43475823
22364,2022-12-30,0,8,0,47126390
22365,2022-12-31,6,9,7,44113643
23001,2023-01-01,2,9,2,18615555
23002,2023-01-02,1,6,9,31598569
23003,2023-01-03,8,6,6,26659023
23004,2023-01-04,4,6,5,29741652
23005,2023-01-05,7,2,2,37698879
23006,2023-01-06,9,8,4,46762636
23007,2023-01-07,5,8,3,23481438
23008,2023-01-08,3,9,4,33172259
23009,2023-01-09,2,2,8,46405986
23010,2023-01-10,5,1,5,47733986
23011,2023-01-11,7,9,9,38016469
23012,2023-01-12,8,4,6,10857014
23013,2023-01-13,8,1,0,35559774
23014,2023-01-14,2,0,0,23415224
23015,2023-01-15,4,2,4,26814864
23016,2023-01-16,2,0,4,23690268
23017,2023-01-17,8,0,5,40373103
23018,2023-01-18,1,9,8,25053013
23019,2023-01-19,8,6,3,44287415
23020,2023-01-20,4,0,6,36008352
23021,2023-01-21,6,5,8,13610604
23022,2023-01-22,0,4,3,39733511
23023,2023-01-23,3,5,9,46682720
23024,2023-01-24,9,3,3,29741932
23025,2023-01-25,7,2,1,22547785
23026,2023-01-26,2,8,1,35313344
23027,2023-01-27,0,6,4,47352701
23028,2023-01-28,4,2,2,49190640
23029,2023-01-29,4,0,5,41294966
23030,2023-01-30,2,0,2,31651334
23031,2023-01-31,9,0,9,30210157
23032,2023-02-01,7,9,8,34030717
23033,2023-02-02,1,5,8,24761400
23034,2023-02-03,2,8,1,43899395
23035,2023-02-04,2,6,8,46039872
23036,2023-02-05,6,1,5,24844351
23037,2023-02-06,3,5,5,34212732
23038,2023-02-07,4,3,9,45601178
23039,2023-02-08,7,8,0,17698859
23040,2023-02-09,5,7,3,26362963
23041,2023-02-10,0,5,6,17608402
23042,2023-02-11,6,4,8,28980332
23043,2023-02-12,0,8,5,44514696
23044,2023-02-13,8,7,7,12942835
23045,2023-02-14,4,3,5,44486889
23046,2023-02-15,1,1,2,46102879
23047,2023-02-16,8,0,1,24145305
23048,2023-02-17,3,6,1,23796211
23049,2023-02-18,8,6,1,20318295
23050,2023-02-19,0,7,5,12542507
23051,2023-02-20,1,1,0,21944851
23052,2023-02-21,4,8,1,48585066
23053,2023-02-22,3,4,6,36040427
23054,2023-02-23,7,6,6,31233529
23055,2023-02-24,0,6,1,45892127
23056,2023-02-25,0,9,1,49299488
23057,2023-02-26,0,1,5,43744816
23058,2023-02-27,1,4,4,15805267
23059,2023-02-28,4,7,6,36515601
23060,2023-03-01,0,7,2,45800415
23061,2023-03-02,3,2,6,46622949
23062,2023-03-03,4,2,4,35040364
23063,2023-03-04,0,8,8,19487439
23064,2023-03-05,1,0,0,48434494
23065,2023-03-06,9,6,8,46743810
23066,2023-03-07,1,4,3,33075493
23067,2023-03-08,3,6,8,19560001
23068,2023-03-09,2,2,3,26961213
23069,2023-03-10,3,1,2,48070364
23070,2023-03-11,0,8,7,46887367
23071,2023-03-12,1,4,1,26823361
23072,2023-03-13,1,3,9,42694794
23073,2023-03-14,5,5,2,25739233
23074,2023-03-15,1,4,9,14684794
23075,2023-03-16,3,5,7,40242339
23076,2023-03-17,5,9,4,49202980
23077,2023-03-18,2,9,9,34460740
23078,2023-03-19,5,6,2,10324262
23079,2023-03-20,5,3,3,39267790
23080,2023-03-21,4,5,2,32250812
23081,2023-03-22,7,7,7,34074741
23082,2023-03-23,4,7,8,17303634
23083,2023-03-24,2,9,1,28831816
23084,2023-03-25,2,8,3,27665378
23085,2023-03-26,1,1,0,44036160
23086,2023-03-27,0,9,9,37188113
23087,2023-03-28,9,3,0,47016846
23088,2023-03-29,4,8,8,41682359
23089,2023-03-30,2,5,6,24985855
23090,2023-03-31,9,4,2,41185565
23091,2023-04-01,8,8,1,36627801
23092,2023-04-02,5,8,0,26031019
23093,2023-04-03,9,2,8,19420117
23094,2023-04-04,7,2,2,48007591
23095,2023-04-05,9,2,7,34078361
23096,2023-04-06,0,3,7,25552473
23097,2023-04-07,1,4,5,25704727
23098,2023-04-08,0,3,8,34243168
23099,2023-04-09,6,7,7,13116365
23100,2023-04-10,0,5,1,44988743
23101,2023-04-11,4,4,9,46530714
23102,2023-04-12,9,2,6,35401947
23103,2023-04-13,5,9,1,44672660
23104,2023-04-14,4,6,3,44653123
23105,2023-04-15,6,5,5,42672726
23106,2023-04-16,7,9,0,43677709
23107,2023-04-17,2,7,2,25434419
23108,2023-04-18,1,8,4,24194672
23109,2023-04-19,2,2,2,34308370
23110,2023-04-20,9,1,3,37824253
23111,2023-04-21,5,1,7,42132706
23112,2023-04-22,7,3,9,20821053
23113,2023-04-23,6,0,3,12895367
23114,2023-04-24,2,9,9,20813193
23115,2023-04-25,2,8,0,48404342
23116,2023-04-26,2,0,2,27331511
23117,2023-04-27,2,8,6,47822871
23118,2023-04-28,0,4,1,24535338
23119,2023-04-29,7,9,7,42324219
23120,2023-04-30,2,3,6,19577249
23121,2023-05-01,9,2,9,44279537
23122,2023-05-02,4,2,5,40431866
23123,2023-05-03,9,9,1,25422542
23124,2023-05-04,6,6,2,17286017
23125,2023-05-05,0,3,8,43846994
23126,2023-05-06,6,2,9,16462488
23127,2023-05-07,2,7,9,12619699
23128,2023-05-08,8,8,1,16253872
23129,2023-05-09,7,2,9,46190869
23130,2023-05-10,0,6,8,38231626
23131,2023-05-11,5,0,8,38786767
23132,2023-05-12,3,7,6,33522852
23133,2023-05-13,9,9,1,38554110
23134,2023-05-14,2,4,7,25603675
23135,2023-05-15,1,4,9,46489171
23136,2023-05-16,6,4,3,10367048
23137,2023-05-17,0,9,8,17907343
23138,2023-05-18,8,0,6,23785415
23139,2023-05-19,5,6,5,17152678
23140,2023-05-20,2,6,9,27021004
23141,2023-05-21,4,8,6,47894378
23142,2023-05-22,5,9,4,36672696
23143,2023-05-23,3,6,8,47417397
23144,2023-05-24,7,2,5,47520151
23145,2023-05-25,8,7,4,30579140
23146,2023-05-26,9,5,6,19265621
23147,2023-05-27,1,3,7,20857886
23148,2023-05-28,1,3,8,36881187
23149,2023-05-29,5,8,9,13493204
23150,2023-05-30,2,6,0,16112851
23151,2023-05-31,2,7,9,39217685
23152,2023-06-01,1,1,4,24882749
23153,2023-06-02,5,1,9,12533717
23154,2023-06-03,6,6,9,44964090
23155,2023-06-04,4,9,0,21762246
23156,2023-06-05,7,7,0,23536343
23157,2023-06-06,8,4,3,12255485
23158,2023-06-07,9,8,8,25547175
23159,2023-06-08,9,2,0,34141742
23160,2023-06-09,3,0,2,15827922
23161,2023-06-10,4,6,5,36517605
23162,2023-06-11,6,9,3,44745124
23163,2023-06-12,0,1,1,46882538
23164,2023-06-13,4,8,9,33360276
23165,2023-06-14,5,4,3,23054364
23166,2023-06-15,7,6,9,10312153
23167,2023-06-16,4,2,6,43973063
23168,2023-06-17,1,8,1,43767111
23169,2023-06-18,4,5,1,44446086
23170,2023-06-19,4,8,9,26786711
23171,2023-06-20,7,6,9,42455852
23172,2023-06-21,3,5,7,40918425
23173,2023-06-22,9,0,7,17802633
23174,2023-06-23,4,1,6,24789607
23175,2023-06-24,3,5,6,33695889
23176,2023-06-25,8,8,0,27673098
23177,2023-06-26,3,4,1,36771781
23178,2023-06-27,5,1,8,21977975
23179,2023-06-28,7,5,5,24667724
23180,2023-06-29,9,4,2,22761924
23181,2023-06-30,7,3,3,26244137
23182,2023-07-01,4,3,3,23607433
23183,2023-07-02,3,9,5,20468685
23184,2023-07-03,1,1,1,43062179
23185,2023-07-04,9,0,8,12836230
23186,2023-07-05,7,5,9,31167270
23187,2023-07-06,7,9,4,42937389
23188,2023-07-07,2,8,4,36701241
23189,2023-07-08,3,9,2,13633822
23190,2023-07-09,8,6,7,46290322
23191,2023-07-10,0,8,5,36421895
23192,2023-07-11,2,7,1,44776158
23193,2023-07-12,7,5,0,10793225
23194,2023-07-13,3,6,9,16761072
23195,2023-07-14,5,5,9,27428223
23196,2023-07-15,2,8,4,25914139
23197,2023-07-16,4,7,9,33024813
23198,2023-07-17,5,2,7,38450325
23199,2023-07-18,3,6,5,34499968
23200,2023-07-19,6,4,7,22072161
23201,2023-07-20,9,2,9,25338854
23202,2023-07-21,1,4,3,47268239
23203,2023-07-22,6,6,3,19787407
23204,2023-07-23,2,7,0,21851913
23205,2023-07-24,6,7,2,44695750
23206,2023-07-25,8,5,7,30134953
23207,2023-07-26,4,8,9,13201717
23208,2023-07-27,6,1,2,14028973
23209,2023-07-28,3,4,7,16462710
23210,2023-07-29,7,5,4,34223751
23211,2023-07-30,5,8,8,27294949
23212,2023-07-31,5,0,6,18136110
23213,2023-08-01,5,9,3,48712000
23214,2023-08-02,9,8,2,29099768
23215,2023-08-03,5,5,8,42715151
23216,2023-08-04,7,1,6,29228271
23217,2023-08-05,7,2,2,32641746
23218,2023-08-06,6,9,9,37163837
23219,2023-08-07,1,1,2,33060316
23220,2023-08-08,3,5,5,29552593
23221,2023-08-09,4,9,6,28203151
23222,2023-08-10,7,5,9,44959402
23223,2023-08-11,7,6,2,22340393
23224,2023-08-12,0,2,3,26887744
23225,2023-08-13,1,3,2,36645278
23226,2023-08-14,1,1,1,41754961
23227,2023-08-15,8,0,0,36643059
23228,2023-08-16,8,1,1,27612873
23229,2023-08-17,9,2,1,36162136
23230,2023-08-18,4,3,3,29070680
23231,2023-08-19,7,2,2,45349079
23232,2023-08-20,2,0,0,33947210
23233,2023-08-21,5,7,7,46277988
23234,2023-08-22,4,8,7,19067407
23235,2023-08-23,8,2,9,40638110
23236,2023-08-24,9,6,8,45821646
23237,2023-08-25,4,5,7,46216514
23238,2023-08-26,3,1,7,30660684
23239,2023-08-27,5,6,4,20450027
23240,2023-08-28,4,0,0,45119158
23241,2023-08-29,2,5,4,41487341
23242,2023-08-30,8,0,7,42015429
23243,2023-08-31,4,0,6,29657703
23244,2023-09-01,9,3,0,46789897
23245,2023-09-02,5,3,6,47618166
23246,2023-09-03,6,6,3,20956830
23247,2023-09-04,6,6,3,27648307
23248,2023-09-05,1,6,3,44669114
23249,2023-09-06,9,4,4,45698175
23250,2023-09-07,4,6,3,14594538
23251,2023-09-08,2,2,4,17405889
23252,2023-09-09,7,9,7,28262612
23253,2023-09-10,9,7,3,31518036
23254,2023-09-11,0,2,0,45901279
23255,2023-09-12,0,2,1,28932386
23256,2023-09-13,4,2,7,10550567
23257,2023-09-14,3,1,2,10988167
23258,2023-09-15,7,3,5,38202032
23259,2023-09-16,4,7,5,41117337
23260,2023-09-17,0,5,1,19803788
23261,2023-09-18,0,4,6,14790545
23262,2023-09-19,8,7,2,22897806
23263,2023-09-20,4,6,0,18184701
23264,2023-09-21,3,6,7,26586773
23265,2023-09-22,0,3,7,16305569
23266,2023-09-23,8,3,7,36113599
23267,2023-09-24,4,5,2,12831048
23268,2023-09-25,8,8,1,26999530
23269,2023-09-26,7,4,3,34187823
23270,2023-09-27,0,3,1,25835399
23271,2023-09-28,6,5,0,21231363
23272,2023-09-29,4,9,1,36562245
23273,2023-09-30,3,0,0,48995418
23274,2023-10-01,7,9,2,34924142
23275,2023-10-02,1,3,2,43549010
23276,2023-10-03,1,9,5,14030044
23277,2023-10-04,0,5,2,45994062
23278,2023-10-05,1,2,7,25614530
23279,2023-10-06,5,8,5,39441926
23280,2023-10-07,3,0,6,34036213
23281,2023-10-08,2,4,0,42568074
23282,2023-10-09,7,8,4,46422267
23283,2023-10-10,7,3,9,22524307
23284,2023-10-11,8,5,5,41433437
23285,2023-10-12,4,9,8,20760464
23286,2023-10-13,1,8,2,40157663
23287,2023-10-14,4,4,8,34636516
23288,2023-10-15,7,0,8,35437183
23289,2023-10-16,2,0,9,34432672
23290,2023-10-17,9,3,5,14250793
23291,2023-10-18,8,6,3,45169726
23292,2023-10-19,7,8,2,29000471
23293,2023-10-20,5,6,5,17413122
23294,2023-10-21,1,8,1,12937842
23295,2023-10-22,2,2,0,23561294
23296,2023-10-23,1,7,3,16627241
23297,2023-10-24,0,9,6,42877279
23298,2023-10-25,8,9,9,27175744
23299,2023-10-26,0,5,3,14756271
23300,2023-10-27,0,3,7,15365810
23301,2023-10-28,7,0,5,47448080
